timestamp,username,computer,parent_process,process,command_line
2026-08-10 08:03:22,jbrown,WS-104,explorer.exe,chrome.exe,"chrome.exe"
2026-08-10 08:18:41,jsmith,WS-107,explorer.exe,outlook.exe,"outlook.exe"
2026-08-10 08:42:15,jbrown,WS-104,explorer.exe,winword.exe,"winword.exe report.docx"
2026-08-10 09:01:33,agarcia,WS-112,explorer.exe,chrome.exe,"chrome.exe"
2026-08-10 09:05:12,admin,SRV-01,cmd.exe,whoami.exe,"whoami"
2026-08-10 09:05:31,admin,SRV-01,cmd.exe,ipconfig.exe,"ipconfig /all"
2026-08-10 09:06:02,admin,SRV-01,cmd.exe,net.exe,"net user"
2026-08-10 09:06:29,admin,SRV-01,cmd.exe,netstat.exe,"netstat -ano"
2026-08-10 09:07:04,admin,SRV-01,cmd.exe,powershell.exe,"powershell.exe Get-Process"
2026-08-10 09:18:45,agarcia,WS-112,explorer.exe,excel.exe,"excel.exe budget.xlsx"
2026-08-10 10:02:16,jbrown,WS-104,explorer.exe,outlook.exe,"outlook.exe"
2026-08-10 10:31:07,jsmith,WS-107,explorer.exe,chrome.exe,"chrome.exe"
2026-08-10 11:12:54,jbrown,WS-104,explorer.exe,excel.exe,"excel.exe inventory.xlsx"
2026-08-10 13:29:18,jsmith,WS-107,explorer.exe,outlook.exe,"outlook.exe"
2026-08-10 14:16:37,agarcia,WS-112,explorer.exe,winword.exe,"winword.exe notes.docx"
